Prescription requirement ,tier_3,t3_code,tier_4,t4_code,Tier 5 (Item),t5_code
Low risk,Communication and Information Management Products,SERV-0065,Orientation,22 45,Tactile orientation materials,22 45 12
Low risk,Communication and Information Management Products,SERV-0065,Orientation,22 45,Visual orientation materials,22 45 15
Low risk,Communication and Information Management Products,SERV-0065,Orientation,22 45,Other,22 45 OTH
Low risk,Communication and Information Management Products,SERV-0065,Play,30 03,Games,30 03 09
Low risk,Communication and Information Management Products,SERV-0065,Play,30 03,Other,30 03 OTH
Prescribed,Communication and Information Management Products,SERV-0065,Hearing,22 06,Sound transmission systems for hearing aids,22 06 25
Prescribed,Communication and Information Management Products,SERV-0065,Hearing,22 06,Accessories for assistive products for hearing,22 06 27
Prescribed,Communication and Information Management Products,SERV-0065,Hearing,22 06,Other,22 06 OTH
Prescribed,Communication and Information Management Products,SERV-0065,Voice and speech functions,22 09,Voice amplifiers for personal use,22 09 06
Prescribed,Communication and Information Management Products,SERV-0065,Voice and speech functions,22 09,Other,22 09 OTH
Under advice,Communication and Information Management Products,SERV-0065,"Reading, writing and drawing",22 13,Page turners,22 13 03
Under advice,Communication and Information Management Products,SERV-0065,"Reading, writing and drawing",22 13,"Writing boards, reading stands and book support cushions",22 13 06
Under advice,Communication and Information Management Products,SERV-0065,"Reading, writing and drawing",22 13,"Signature guides, stamps and writing frames",22 13 09
Under advice,Communication and Information Management Products,SERV-0065,"Reading, writing and drawing",22 13,Reading masks and typoscopes,22 13 12
Under advice,Communication and Information Management Products,SERV-0065,"Reading, writing and drawing",22 13,Text-to-speech devices and software,22 13 15
Under advice,Communication and Information Management Products,SERV-0065,"Reading, writing and drawing",22 13,OCR equipment and OCR software,22 13 18
Under advice,Communication and Information Management Products,SERV-0065,"Reading, writing and drawing",22 13,DAISY players and e-book readers,22 13 21
Under advice,Communication and Information Management Products,SERV-0065,"Reading, writing and drawing",22 13,Manual devices for drawing and handwriting,22 13 24
Under advice,Communication and Information Management Products,SERV-0065,"Reading, writing and drawing",22 13,Manual Braille writing equipment,22 13 27
Under advice,Communication and Information Management Products,SERV-0065,"Reading, writing and drawing",22 13,Portable note-taking devices for Braille,22 13 36
Under advice,Communication and Information Management Products,SERV-0065,"Reading, writing and drawing",22 13,Assistive products for Braille training,22 13 51
Under advice,Communication and Information Management Products,SERV-0065,"Reading, writing and drawing",22 13,Other,22 13 OTH
Prescribed,Communication and Information Management Products,SERV-0065,Face-to-face communications,22 21,Letter and symbol sets and boards,22 21 03
Prescribed,Communication and Information Management Products,SERV-0065,Face-to-face communications,22 21,Dialogue units,22 21 09
Prescribed,Communication and Information Management Products,SERV-0065,Face-to-face communications,22 21,Face-to-face communication software,22 21 12
Prescribed,Communication and Information Management Products,SERV-0065,Face-to-face communications,22 21,Other,22 21 OTH
Prescribed,Communication and Information Management Products,SERV-0065,Distant communications,22 24,Multifunctional communication systems,22 24 04
Prescribed,Communication and Information Management Products,SERV-0065,Distant communications,22 24,Accessories for assistive products for distant communication,22 24 21
Prescribed,Communication and Information Management Products,SERV-0065,Distant communications,22 24,Software for distant communication,22 24 24
Prescribed,Communication and Information Management Products,SERV-0065,Distant communications,22 24,Other,22 24 OTH
Prescribed,Communication and Information Management Products,SERV-0065,"Signalling, alarming and localisation",22 29,Signalling devices,22 29 03
Prescribed,Communication and Information Management Products,SERV-0065,"Signalling, alarming and localisation",22 29,Personal emergency alarm systems,22 29 06
Prescribed,Communication and Information Management Products,SERV-0065,"Signalling, alarming and localisation",22 29,Environmental emergency alarm systems,22 29 09
Prescribed,Communication and Information Management Products,SERV-0065,"Signalling, alarming and localisation",22 29,Localising and tracking systems,22 29 12
Prescribed,Communication and Information Management Products,SERV-0065,"Signalling, alarming and localisation",22 29,Marking materials and marking tools,22 29 15
Prescribed,Communication and Information Management Products,SERV-0065,"Signalling, alarming and localisation",22 29,Other,22 29 OTH
Prescribed,Communication and Information Management Products,SERV-0065,Computer and terminals,22 33,Portable computers and personal digital assistants (PDA),22 33 06
